record_id,longitude,latitude,speed,heading,navigation_status,mmsi,ship_type,ship_name,timestamp,decode_timestamp,data_timestamp,day_id,date,unixstamp
N-kkMX0VT_Gu_WMle9Jlyg,113.21441650390625,22.7113094329834,5.8,511,,413841065,,,2024-07-27 05:03:17.068,2024-07-27 05:03:17.225,00:00:00,20240727,2024-07-27,1722027797.068
vrk--CkoTNSRJ9wnEL02PQ,113.16053009033203,21.9382266998291,0.0,511,,413837927,,,2024-07-27 05:03:13.328,2024-07-27 05:03:13.339,00:00:00,20240727,2024-07-27,1722027793.328
6uWPzdDNQaeefGX4IUxseQ,113.21456146240234,22.711505889892578,5.8,511,,413841065,,,2024-07-27 05:03:07.795,2024-07-27 05:03:07.914,00:00:00,20240727,2024-07-27,1722027787.795
sBGAS_s6ThC0RtWfrIeaoQ,111.149169921875,23.431520462036133,0.0,511,,413860512,,,2024-07-27 05:03:06.334,2024-07-27 05:03:06.354,00:00:00,20240727,2024-07-27,1722027786.334
Em91rfbxT36_ATmfchrcXg,113.16053009033203,20.971851348876953,0.0,511,,413837927,,,2024-07-27 05:03:03.548,2024-07-27 05:03:03.588,00:00:00,20240727,2024-07-27,1722027783.548
J7ort56CRVypHYwLzZcNSQ,113.21504211425781,22.712125778198242,5.7,511,,413841065,,,2024-07-27 05:03:00.205,2024-07-27 05:03:00.810,00:00:00,20240727,2024-07-27,1722027780.205
iS85u092SqSiCx3Mg9BtYw,113.21488189697266,22.71192741394043,5.7,511,,413841065,,,2024-07-27 05:02:48.445,2024-07-27 05:02:48.459,00:00:00,20240727,2024-07-27,1722027768.445
fwFg3MAkTraeHGitI8levA,111.1488265991211,23.430845260620117,0.0,511,,413866992,,,2024-07-27 05:02:44.301,2024-07-27 05:02:44.313,00:00:00,20240727,2024-07-27,1722027764.301
xPnshtFwQze_Gk6vBm9N6g,113.21504211425781,22.712125778198242,5.7,511,,413841065,,,2024-07-27 05:02:39.656,2024-07-27 05:02:39.686,00:00:00,20240727,2024-07-27,1722027759.656
NmrsY2G3T3aTHpxokgkIRQ,113.21520233154297,22.71234130859375,5.6,511,,413841065,,,2024-07-27 05:02:30.216,2024-07-27 05:02:30.343,00:00:00,20240727,2024-07-27,1722027750.216
RDmTI5_jTwKnYHC1sAQlkw,111.14884185791016,23.43095588684082,0.0,511,,413867644,,,2024-07-27 05:02:25.149,2024-07-27 05:02:25.162,00:00:00,20240727,2024-07-27,1722027745.149
zHdfK6oSTDSHrtJP1Hc90Q,113.21536254882812,22.7125301361084,5.5,511,,413841065,,,2024-07-27 05:02:20.697,2024-07-27 05:02:20.735,00:00:00,20240727,2024-07-27,1722027740.697
0XRxM1woS4ShsffePaTc6A,111.1521224975586,23.42454719543457,0.0,511,,413848169,,,2024-07-27 05:02:12.901,2024-07-27 05:02:12.916,00:00:00,20240727,2024-07-27,1722027732.901
R4y3Tdi3QCKOBUIdS1zfdA,113.21553039550781,22.71272850036621,5.5,511,,413841065,,,2024-07-27 05:02:11.377,2024-07-27 05:02:11.419,00:00:00,20240727,2024-07-27,1722027731.377
WB2yWi29QxiMRGhXVh3Y8w,112.03985595703125,23.071311950683594,0.0,511,,413837924,,,2024-07-27 05:02:03.372,2024-07-27 05:02:03.385,00:00:00,20240727,2024-07-27,1722027723.372
Adl64JcTSau9k8sOdJY1kA,113.21570587158203,22.7128963470459,5.5,511,,413841065,,,2024-07-27 05:02:01.816,2024-07-27 05:02:01.828,00:00:00,20240727,2024-07-27,1722027721.816
VsNRlE4PRPC2tYJ7NpKFUQ,113.21589660644531,22.713075637817383,5.4,511,,413841065,,,2024-07-27 05:01:52.328,2024-07-27 05:01:52.341,00:00:00,20240727,2024-07-27,1722027712.328
JBr2bT0CRNOYmqe-CH4Szw,113.16053009033203,21.938234329223633,0.0,511,,413837927,,,2024-07-27 05:01:43.727,2024-07-27 05:01:43.751,00:00:00,20240727,2024-07-27,1722027703.727
